country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","20-07-2026 15:00:00",28.611281,77.237738,NH3,8,12,9
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","20-07-2026 15:00:00",28.611281,77.237738,CO,29,41,36
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM","20-07-2026 15:00:00",28.5627763,77.1180053,NH3,NA,NA,NA
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM","20-07-2026 15:00:00",28.5627763,77.1180053,OZONE,30,63,47
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","20-07-2026 15:00:00",28.58028,77.233829,PM2.5,50,127,76
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","20-07-2026 15:00:00",28.58028,77.233829,NH3,14,23,17
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","20-07-2026 15:00:00",28.58028,77.233829,CO,34,69,59
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","20-07-2026 15:00:00",28.623763,77.287209,SO2,2,7,3
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","20-07-2026 15:00:00",28.674045,77.131023,PM2.5,55,203,100
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","20-07-2026 15:00:00",28.6514781,77.1473105,PM10,61,172,97
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","20-07-2026 15:00:00",28.570173,76.933762,OZONE,8,13,11
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","20-07-2026 15:00:00",28.73282,77.170633,NO2,16,41,24
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","20-07-2026 15:00:00",28.73282,77.170633,NH3,10,13,12
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC","20-07-2026 15:00:00",28.594169,77.1251,PM10,54,140,102
