country,state,city,station,last_update,latitude,longitude,CO,NH3,NO2,O3,PM10,PM25,SO2,hour,day,month,weekday,is_weekend,season,AQI,NO,NOx,Benzene,Toluene,Xylene
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",2026-07-20 15:00:00,25.599486,85.113666,36.0,3.0,31.0,29.0,39.0,28.0,8.0,15,20,7,0,0,Monsoon,46.666666666666664,,,,,
India,Bihar,Patna,"Samanpura, Patna - BSPCB",2026-07-20 15:00:00,25.596727,85.085624,21.0,5.0,24.0,45.0,83.0,66.0,6.0,15,20,7,0,0,Monsoon,120.0,,,,,
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",2026-07-20 15:00:00,25.0328,85.41948,42.0,3.0,14.0,45.0,0.0,0.0,3.0,15,20,7,0,0,Monsoon,17.5,,,,,
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",2026-07-20 15:00:00,25.892357,86.590325,41.0,4.0,7.0,18.0,0.0,0.0,17.0,15,20,7,0,0,Monsoon,8.75,,,,,
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",2026-07-20 15:00:00,25.859655,85.77944,0.0,1.0,8.0,6.0,0.0,0.0,13.0,15,20,7,0,0,Monsoon,10.0,,,,,
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",2026-07-20 15:00:00,24.952822,84.002396,53.0,3.0,3.0,12.0,264.0,287.0,3.0,15,20,7,0,0,Monsoon,428.46153846153845,,,,,
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",2026-07-20 15:00:00,30.735567,76.775714,40.0,19.0,0.0,6.0,44.0,38.0,5.0,15,20,7,0,0,Monsoon,63.333333333333336,,,,,
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",2026-07-20 15:00:00,30.751462,76.762879,21.0,11.0,5.0,17.0,72.0,66.0,7.0,15,20,7,0,0,Monsoon,120.0,,,,,
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",2026-07-20 15:00:00,30.719859,76.738637,76.0,25.0,38.0,11.0,0.0,35.0,5.0,15,20,7,0,0,Monsoon,58.333333333333336,,,,,
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",2026-07-20 15:00:00,21.194815,81.31477,16.0,3.0,7.0,15.0,24.0,18.0,10.0,15,20,7,0,0,Monsoon,30.0,,,,,
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",2026-07-20 15:00:00,21.185571,81.343175,20.0,1.0,15.0,11.0,14.0,9.0,10.0,15,20,7,0,0,Monsoon,18.75,,,,,
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",2026-07-20 15:00:00,21.224231,81.40835,18.0,5.0,16.0,13.0,24.0,19.0,10.0,15,20,7,0,0,Monsoon,31.666666666666668,,,,,
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",2026-07-20 15:00:00,22.08815,82.13737,28.0,0.0,14.0,0.0,23.0,23.0,13.0,15,20,7,0,0,Monsoon,38.333333333333336,,,,,
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",2026-07-20 15:00:00,22.118125,83.140608,26.0,3.0,7.0,77.0,52.0,62.0,9.0,15,20,7,0,0,Monsoon,106.66666666666667,,,,,
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",2026-07-20 15:00:00,22.368195,82.746431,16.0,2.0,15.0,5.0,51.0,11.0,15.0,15,20,7,0,0,Monsoon,51.0,,,,,
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",2026-07-20 15:00:00,22.348441,82.549611,26.0,1.0,6.0,2.0,20.0,17.0,9.0,15,20,7,0,0,Monsoon,28.333333333333332,,,,,
